ITEM	NUMBER	BINARY	HEXADECIMAL
336	491	111101011	1EB
337	281	100011001	119
338	461	111001101	1CD
339	241	11110001	F1
340	410	110011010	19A
341	448	111000000	1C0
342	332	101001100	14C
343	124	1111100	7C
344	464	111010000	1D0
345	116	1110100	74
346	303	100101111	12F
347	248	11111000	F8
348	441	110111001	1B9
349	262	100000110	106
350	36	100100	24
351	452	111000100	1C4
352	119	1110111	77
353	426	110101010	1AA
354	291	100100011	123
355	197	11000101	C5
356	458	111001010	1CA
357	388	110000100	184
358	451	111000011	1C3
359	131	10000011	83
360	285	100011101	11D
361	16	10000	10
362	229	11100101	E5
363	311	100110111	137
364	357	101100101	165
365	78	1001110	4E
366	325	101000101	145
367	16	10000	10
368	228	11100100	E4
369	190	10111110	BE
370	89	1011001	59
371	24	11000	18
372	428	110101100	1AC
373	351	101011111	15F
374	63	111111	3F
375	257	100000001	101
376	48	110000	30
377	491	111101011	1EB
378	467	111010011	1D3
379	217	11011001	D9
380	17	10001	11
381	24	11000	18
382	481	111100001	1E1
383	72	1001000	48
384	28	11100	1C
385	437	110110101	1B5
386	66	1000010	42
387	197	11000101	C5
388	138	10001010	8A
389	401	110010001	191
390	68	1000100	44
391	83	1010011	53
392	172	10101100	AC
393	484	111100100	1E4
394	333	101001101	14D
395	151	10010111	97
396	235	11101011	EB
397	431	110101111	1AF
398	432	110110000	1B0
399	352	101100000	160
400	314	100111010	13A
401	237	11101101	ED
402	11	1011	B
403	89	1011001	59
404	113	1110001	71
405	439	110110111	1B7
406	44	101100	2C
407	183	10110111	B7
408	336	101010000	150
409	243	11110011	F3
410	73	1001001	49
411	385	110000001	181
412	472	111011000	1D8
413	316	100111100	13C
414	388	110000100	184
415	410	110011010	19A
416	422	110100110	1A6
417	411	110011011	19B
418	49	110001	31
419	160	10100000	A0
420	160	10100000	A0
421	464	111010000	1D0
422	59	111011	3B
423	182	10110110	B6
424	183	10110111	B7
425	342	101010110	156
426	168	10101000	A8
427	340	101010100	154
428	245	11110101	F5
429	46	101110	2E
430	183	10110111	B7
431	455	111000111	1C7
432	15	1111	F
433	116	1110100	74
434	423	110100111	1A7
435	61	111101	3D
436	20	10100	14
437	457	111001001	1C9
438	178	10110010	B2
439	362	101101010	16A
440	203	11001011	CB
441	244	11110100	F4
442	364	101101100	16C
443	390	110000110	186
444	229	11100101	E5
445	37	100101	25
446	65	1000001	41
447	364	101101100	16C
448	77	1001101	4D
449	342	101010110	156
450	325	101000101	145
451	184	10111000	B8
452	201	11001001	C9
453	427	110101011	1AB
454	47	101111	2F
455	105	1101001	69
456	342	101010110	156
457	347	101011011	15B
458	71	1000111	47
459	477	111011101	1DD
460	126	1111110	7E
461	208	11010000	D0
462	141	10001101	8D
463	339	101010011	153
464	254	11111110	FE
465	432	110110000	1B0
466	229	11100101	E5
467	384	110000000	180
468	0	0	0
469	200	11001000	C8
470	323	101000011	143
471	181	10110101	B5
472	498	111110010	1F2
473	336	101010000	150
474	462	111001110	1CE
475	90	1011010	5A
476	86	1010110	56
477	157	10011101	9D
478	460	111001100	1CC
479	108	1101100	6C
480	377	101111001	179
481	231	11100111	E7
482	50	110010	32
483	366	101101110	16E
484	215	11010111	D7
485	47	101111	2F
486	36	100100	24
487	312	100111000	138
488	38	100110	26
489	146	10010010	92
490	42	101010	2A
491	191	10111111	BF
492	52	110100	34
493	203	11001011	CB
494	26	11010	1A
495	191	10111111	BF
496	235	11101011	EB
497	237	11101101	ED
498	445	110111101	1BD
499	125	1111101	7D
500	11	1011	B
501	268	100001100	10C
502	427	110101011	1AB
503	104	1101000	68
504	213	11010101	D5
505	27	11011	1B
506	33	100001	21
507	38	100110	26
508	123	1111011	7B
509	33	100001	21
510	469	111010101	1D5
511	347	101011011	15B
512	50	110010	32
513	292	100100100	124
514	45	101101	2D
515	304	100110000	130
516	13	1101	D
517	251	11111011	FB
518	379	101111011	17B
519	14	1110	E
520	295	100100111	127
521	390	110000110	186
522	454	111000110	1C6
523	457	111001001	1C9
524	93	1011101	5D
525	440	110111000	1B8
526	417	110100001	1A1
527	484	111100100	1E4
528	198	11000110	C6
529	408	110011000	198
530	73	1001001	49
531	54	110110	36
532	184	10111000	B8
533	428	110101100	1AC
534	333	101001101	14D
535	432	110110000	1B0
536	31	11111	1F
537	376	101111000	178
538	4	100	4
539	344	101011000	158
540	28	11100	1C
541	413	110011101	19D
542	320	101000000	140
543	230	11100110	E6
544	152	10011000	98
545	311	100110111	137
546	438	110110110	1B6
547	386	110000010	182
548	318	100111110	13E
549	481	111100001	1E1
550	242	11110010	F2
551	418	110100010	1A2
552	259	100000011	103
553	179	10110011	B3
554	62	111110	3E
555	393	110001001	189
556	151	10010111	97
557	165	10100101	A5
558	73	1001001	49
559	262	100000110	106
560	212	11010100	D4
561	19	10011	13
562	239	11101111	EF
563	189	10111101	BD
564	26	11010	1A
565	201	11001001	C9
566	143	10001111	8F
567	150	10010110	96
568	215	11010111	D7
569	368	101110000	170
570	381	101111101	17D
571	492	111101100	1EC
572	165	10100101	A5
573	143	10001111	8F
574	248	11111000	F8
575	227	11100011	E3
576	324	101000100	144
577	498	111110010	1F2
578	279	100010111	117
579	393	110001001	189
580	366	101101110	16E
581	407	110010111	197
582	260	100000100	104
583	256	100000000	100
584	403	110010011	193
585	483	111100011	1E3
586	324	101000100	144
587	378	101111010	17A
588	280	100011000	118
589	423	110100111	1A7
590	140	10001100	8C
591	95	1011111	5F
592	407	110010111	197
593	67	1000011	43
594	437	110110101	1B5
595	363	101101011	16B
596	148	10010100	94
597	378	101111010	17A
598	449	111000001	1C1
599	453	111000101	1C5
600	309	100110101	135
601	330	101001010	14A
602	497	111110001	1F1
603	425	110101001	1A9
604	168	10101000	A8
605	82	1010010	52
606	89	1011001	59
607	7	111	7
608	219	11011011	DB
609	449	111000001	1C1
610	56	111000	38
611	298	100101010	12A
612	53	110101	35
613	216	11011000	D8
614	46	101110	2E
615	477	111011101	1DD
616	111	1101111	6F
617	384	110000000	180
618	214	11010110	D6
619	62	111110	3E
620	73	1001001	49
621	100	1100100	64
622	74	1001010	4A
623	141	10001101	8D
624	156	10011100	9C
625	149	10010101	95
626	18	10010	12
627	392	110001000	188
628	188	10111100	BC
629	93	1011101	5D
630	370	101110010	172
631	224	11100000	E0
632	158	10011110	9E
633	378	101111010	17A
634	258	100000010	102
635	56	111000	38
636	236	11101100	EC
637	236	11101100	EC
638	316	100111100	13C
639	434	110110010	1B2
640	63	111111	3F
641	85	1010101	55
642	14	1110	E
643	404	110010100	194
644	319	100111111	13F
645	66	1000010	42
646	127	1111111	7F
647	467	111010011	1D3
648	67	1000011	43
649	480	111100000	1E0
650	386	110000010	182
651	279	100010111	117
652	493	111101101	1ED
653	378	101111010	17A
654	43	101011	2B
655	95	1011111	5F
656	85	1010101	55
657	157	10011101	9D
658	497	111110001	1F1
659	443	110111011	1BB
660	465	111010001	1D1
661	254	11111110	FE
662	137	10001001	89
663	189	10111101	BD
664	295	100100111	127
665	102	1100110	66
666	289	100100001	121
667	138	10001010	8A
668	156	10011100	9C
669	157	10011101	9D
670	467	111010011	1D3
671	288	100100000	120
672	19	10011	13
673	486	111100110	1E6
674	48	110000	30
675	308	100110100	134
676	26	11010	1A
677	125	1111101	7D
678	181	10110101	B5
679	246	11110110	F6
680	495	111101111	1EF
681	60	111100	3C
682	334	101001110	14E
683	377	101111001	179
684	68	1000100	44
685	328	101001000	148
686	261	100000101	105
687	234	11101010	EA
688	22	10110	16
689	490	111101010	1EA
690	109	1101101	6D
691	24	11000	18
692	117	1110101	75
693	450	111000010	1C2
694	277	100010101	115
695	409	110011001	199
696	99	1100011	63
697	240	11110000	F0
698	417	110100001	1A1
699	93	1011101	5D
700	386	110000010	182
701	320	101000000	140
702	388	110000100	184
703	184	10111000	B8
704	46	101110	2E
705	322	101000010	142
706	188	10111100	BC
707	272	100010000	110
708	457	111001001	1C9
709	378	101111010	17A
710	135	10000111	87
711	457	111001001	1C9
712	147	10010011	93
713	121	1111001	79
714	91	1011011	5B
715	476	111011100	1DC
716	381	101111101	17D
717	253	11111101	FD
718	293	100100101	125
719	216	11011000	D8
720	24	11000	18
721	365	101101101	16D
722	351	101011111	15F
723	224	11100000	E0
724	115	1110011	73
725	500	111110100	1F4
726	426	110101010	1AA
727	106	1101010	6A
728	191	10111111	BF
729	225	11100001	E1
730	275	100010011	113
731	197	11000101	C5
732	361	101101001	169
733	151	10010111	97
734	19	10011	13
735	390	110000110	186
736	411	110011011	19B
737	50	110010	32
738	418	110100010	1A2
739	170	10101010	AA
740	150	10010110	96
741	17	10001	11
742	462	111001110	1CE
743	245	11110101	F5
744	306	100110010	132
745	209	11010001	D1
746	360	101101000	168
747	116	1110100	74
748	350	101011110	15E
749	232	11101000	E8
750	50	110010	32
751	484	111100100	1E4
752	425	110101001	1A9
753	392	110001000	188
754	71	1000111	47
755	329	101001001	149
756	176	10110000	B0
757	355	101100011	163
758	58	111010	3A
759	158	10011110	9E
760	429	110101101	1AD
761	258	100000010	102
762	476	111011100	1DC
763	408	110011000	198
764	28	11100	1C
765	280	100011000	118
766	433	110110001	1B1
767	215	11010111	D7
768	160	10100000	A0
769	384	110000000	180
770	361	101101001	169
771	382	101111110	17E
772	306	100110010	132
773	54	110110	36
774	324	101000100	144
775	169	10101001	A9
776	358	101100110	166
777	257	100000001	101
778	75	1001011	4B
779	206	11001110	CE
780	330	101001010	14A
781	478	111011110	1DE
782	113	1110001	71
783	473	111011001	1D9
784	418	110100010	1A2
785	336	101010000	150
786	239	11101111	EF
787	131	10000011	83
788	245	11110101	F5
789	487	111100111	1E7
790	158	10011110	9E
791	99	1100011	63
792	138	10001010	8A
793	190	10111110	BE
794	126	1111110	7E
795	376	101111000	178
796	301	100101101	12D
797	441	110111001	1B9
798	431	110101111	1AF
799	158	10011110	9E
800	171	10101011	AB
801	379	101111011	17B
802	73	1001001	49
803	357	101100101	165
804	7	111	7
805	382	101111110	17E
806	168	10101000	A8
807	92	1011100	5C
808	212	11010100	D4
809	271	100001111	10F
810	250	11111010	FA
811	66	1000010	42
812	118	1110110	76
813	136	10001000	88
814	84	1010100	54
815	256	100000000	100
816	422	110100110	1A6
817	301	100101101	12D
818	312	100111000	138
819	81	1010001	51
820	228	11100100	E4
821	178	10110010	B2
822	224	11100000	E0
823	317	100111101	13D
824	186	10111010	BA
825	324	101000100	144
826	3	11	3
827	348	101011100	15C
828	230	11100110	E6
829	193	11000001	C1
830	63	111111	3F
831	372	101110100	174
832	257	100000001	101
833	235	11101011	EB
834	465	111010001	1D1
835	247	11110111	F7
836	399	110001111	18F
837	435	110110011	1B3
838	149	10010101	95
839	202	11001010	CA
840	468	111010100	1D4
841	406	110010110	196
842	300	100101100	12C
843	336	101010000	150
844	237	11101101	ED
845	111	1101111	6F
846	209	11010001	D1
847	277	100010101	115
848	214	11010110	D6
849	316	100111100	13C
850	293	100100101	125
851	121	1111001	79
852	349	101011101	15D
853	307	100110011	133
854	329	101001001	149
855	76	1001100	4C
856	27	11011	1B
857	277	100010101	115
858	126	1111110	7E
859	221	11011101	DD
860	132	10000100	84
861	110	1101110	6E
862	60	111100	3C
863	286	100011110	11E
864	191	10111111	BF
865	493	111101101	1ED
866	106	1101010	6A
867	393	110001001	189
868	451	111000011	1C3
869	3	11	3
870	226	11100010	E2
871	98	1100010	62
872	475	111011011	1DB
873	323	101000011	143
874	500	111110100	1F4
875	353	101100001	161
876	133	10000101	85
877	348	101011100	15C
878	63	111111	3F
879	94	1011110	5E
880	139	10001011	8B
881	249	11111001	F9
882	258	100000010	102
883	239	11101111	EF
884	152	10011000	98
885	264	100001000	108
886	142	10001110	8E
887	155	10011011	9B
888	341	101010101	155
889	464	111010000	1D0
890	104	1101000	68
891	465	111010001	1D1
892	240	11110000	F0
893	276	100010100	114
894	145	10010001	91
895	415	110011111	19F
896	135	10000111	87
897	497	111110001	1F1
898	313	100111001	139
899	362	101101010	16A
900	121	1111001	79
901	136	10001000	88
902	58	111010	3A
903	238	11101110	EE
904	56	111000	38
905	145	10010001	91
906	27	11011	1B
907	391	110000111	187
908	76	1001100	4C
909	178	10110010	B2
910	395	110001011	18B
911	131	10000011	83
912	78	1001110	4E
913	212	11010100	D4
914	182	10110110	B6
915	117	1110101	75
916	356	101100100	164
917	95	1011111	5F
918	461	111001101	1CD
919	441	110111001	1B9
920	46	101110	2E
921	207	11001111	CF
922	341	101010101	155
923	240	11110000	F0
924	35	100011	23
925	459	111001011	1CB
926	439	110110111	1B7
927	233	11101001	E9
928	296	100101000	128
929	453	111000101	1C5
930	203	11001011	CB
931	471	111010111	1D7
932	92	1011100	5C
933	13	1101	D
934	254	11111110	FE
935	67	1000011	43
936	200	11001000	C8
937	454	111000110	1C6
938	106	1101010	6A
939	300	100101100	12C
940	39	100111	27
941	139	10001011	8B
942	339	101010011	153
943	124	1111100	7C
944	463	111001111	1CF
945	487	111100111	1E7
946	60	111100	3C
947	495	111101111	1EF
948	98	1100010	62
949	239	11101111	EF
950	335	101001111	14F
951	340	101010100	154
952	301	100101101	12D
953	110	1101110	6E
954	310	100110110	136
955	246	11110110	F6
956	390	110000110	186
957	99	1100011	63
958	385	110000001	181
959	492	111101100	1EC
960	268	100001100	10C
961	384	110000000	180
962	479	111011111	1DF
963	124	1111100	7C
964	324	101000100	144
965	167	10100111	A7
966	456	111001000	1C8
967	186	10111010	BA
968	269	100001101	10D
969	35	100011	23
970	252	11111100	FC
971	196	11000100	C4
972	63	111111	3F
973	27	11011	1B
974	468	111010100	1D4
975	243	11110011	F3
976	496	111110000	1F0
977	405	110010101	195
978	202	11001010	CA
979	129	10000001	81
980	361	101101001	169
981	18	10010	12
982	152	10011000	98
983	391	110000111	187
984	83	1010011	53
985	171	10101011	AB
986	41	101001	29
987	450	111000010	1C2
988	303	100101111	12F
989	14	1110	E
990	423	110100111	1A7
991	47	101111	2F
992	23	10111	17
993	258	100000010	102
994	225	11100001	E1
995	21	10101	15
996	86	1010110	56
997	369	101110001	171
998	426	110101010	1AA
999	326	101000110	146
1000	277	100010101	115
1001	477	111011101	1DD
1002	91	1011011	5B
1003	307	100110011	133
1004	230	11100110	E6
1005	111	1101111	6F
1006	127	1111111	7F
1007	119	1110111	77
1008	266	100001010	10A
1009	207	11001111	CF
1010	244	11110100	F4
1011	459	111001011	1CB
1012	122	1111010	7A
1013	309	100110101	135
1014	123	1111011	7B
1015	380	101111100	17C
1016	225	11100001	E1
1017	337	101010001	151
1018	115	1110011	73
1019	64	1000000	40
1020	256	100000000	100
1021	171	10101011	AB
1022	313	100111001	139
1023	25	11001	19
1024	247	11110111	F7
1025	20	10100	14
1026	448	111000000	1C0
1027	11	1011	B
1028	344	101011000	158
1029	434	110110010	1B2
1030	482	111100010	1E2
1031	412	110011100	19C
1032	386	110000010	182
1033	116	1110100	74
1034	223	11011111	DF
1035	137	10001001	89
1036	436	110110100	1B4
1037	382	101111110	17E
1038	207	11001111	CF
1039	20	10100	14
1040	75	1001011	4B
1041	72	1001000	48
1042	154	10011010	9A
1043	203	11001011	CB
1044	451	111000011	1C3
1045	326	101000110	146
1046	64	1000000	40
1047	388	110000100	184
1048	409	110011001	199
1049	344	101011000	158
1050	433	110110001	1B1
1051	163	10100011	A3
1052	53	110101	35
1053	256	100000000	100
1054	124	1111100	7C
1055	497	111110001	1F1
1056	449	111000001	1C1
1057	70	1000110	46
1058	165	10100101	A5
1059	330	101001010	14A
1060	420	110100100	1A4
1061	459	111001011	1CB
1062	40	101000	28
1063	329	101001001	149
1064	11	1011	B
1065	119	1110111	77
1066	53	110101	35
1067	170	10101010	AA
1068	206	11001110	CE
1069	85	1010101	55
1070	316	100111100	13C
1071	399	110001111	18F
1072	53	110101	35
1073	391	110000111	187
1074	68	1000100	44
1075	159	10011111	9F
1076	467	111010011	1D3
1077	414	110011110	19E
1078	367	101101111	16F
1079	22	10110	16
1080	334	101001110	14E
1081	95	1011111	5F
1082	253	11111101	FD
1083	356	101100100	164
1084	276	100010100	114
1085	135	10000111	87
1086	302	100101110	12E
1087	462	111001110	1CE
1088	329	101001001	149
1089	58	111010	3A
1090	14	1110	E
1091	128	10000000	80
1092	311	100110111	137
1093	119	1110111	77
1094	303	100101111	12F
1095	345	101011001	159
1096	153	10011001	99
1097	108	1101100	6C
1098	149	10010101	95
1099	323	101000011	143
1100	185	10111001	B9
1101	173	10101101	AD
1102	37	100101	25
1103	85	1010101	55
1104	214	11010110	D6
1105	266	100001010	10A
1106	159	10011111	9F
1107	188	10111100	BC
1108	353	101100001	161
1109	289	100100001	121
1110	142	10001110	8E
1111	208	11010000	D0
1112	116	1110100	74
1113	260	100000100	104
1114	409	110011001	199
1115	357	101100101	165
1116	293	100100101	125
1117	201	11001001	C9
1118	90	1011010	5A
1119	456	111001000	1C8
1120	420	110100100	1A4
1121	167	10100111	A7
1122	488	111101000	1E8
1123	339	101010011	153
1124	353	101100001	161
1125	105	1101001	69
1126	267	100001011	10B
1127	393	110001001	189
1128	377	101111001	179
1129	466	111010010	1D2
1130	499	111110011	1F3
1131	359	101100111	167
1132	357	101100101	165
1133	98	1100010	62
1134	123	1111011	7B
1135	363	101101011	16B
1136	205	11001101	CD
1137	228	11100100	E4
1138	457	111001001	1C9
1139	392	110001000	188
1140	472	111011000	1D8
1141	272	100010000	110
1142	165	10100101	A5
1143	278	100010110	116
1144	231	11100111	E7
1145	343	101010111	157
1146	10	1010	A
1147	83	1010011	53
1148	222	11011110	DE
1149	195	11000011	C3
1150	475	111011011	1DB
1151	496	111110000	1F0
1152	25	11001	19
1153	327	101000111	147
1154	129	10000001	81
1155	166	10100110	A6
1156	57	111001	39
1157	490	111101010	1EA
1158	441	110111001	1B9
1159	398	110001110	18E
1160	345	101011001	159
1161	121	1111001	79
1162	217	11011001	D9
1163	366	101101110	16E
1164	23	10111	17
1165	269	100001101	10D
1166	262	100000110	106
1167	299	100101011	12B
1168	349	101011101	15D
1169	390	110000110	186
1170	2	10	2
1171	286	100011110	11E
1172	311	100110111	137
1173	276	100010100	114
1174	144	10010000	90
1175	54	110110	36
1176	455	111000111	1C7
1177	106	1101010	6A
1178	38	100110	26
1179	343	101010111	157
1180	130	10000010	82
1181	155	10011011	9B
1182	262	100000110	106
1183	91	1011011	5B
1184	88	1011000	58
1185	375	101110111	177
1186	11	1011	B
1187	4	100	4
1188	91	1011011	5B
1189	309	100110101	135
1190	474	111011010	1DA
1191	58	111010	3A
1192	196	11000100	C4
1193	212	11010100	D4
1194	271	100001111	10F
1195	23	10111	17
1196	307	100110011	133
1197	402	110010010	192
1198	406	110010110	196
1199	208	11010000	D0
1200	188	10111100	BC
1201	80	1010000	50
1202	250	11111010	FA
1203	268	100001100	10C
1204	278	100010110	116
1205	328	101001000	148
1206	122	1111010	7A
1207	142	10001110	8E
1208	428	110101100	1AC
1209	237	11101101	ED
1210	65	1000001	41
1211	65	1000001	41
1212	54	110110	36
1213	484	111100100	1E4
1214	220	11011100	DC
1215	428	110101100	1AC
1216	435	110110011	1B3
1217	437	110110101	1B5
1218	142	10001110	8E
1219	81	1010001	51
1220	344	101011000	158
1221	61	111101	3D
1222	313	100111001	139
1223	325	101000101	145
1224	314	100111010	13A
1225	402	110010010	192
1226	253	11111101	FD
1227	239	11101111	EF
1228	315	100111011	13B
1229	231	11100111	E7
1230	198	11000110	C6
1231	287	100011111	11F
1232	99	1100011	63
1233	323	101000011	143
1234	171	10101011	AB
1235	188	10111100	BC
1236	10	1010	A
1237	62	111110	3E
1238	87	1010111	57
1239	379	101111011	17B
1240	308	100110100	134
1241	310	100110110	136
1242	306	100110010	132
1243	412	110011100	19C
1244	368	101110000	170
1245	214	11010110	D6
1246	459	111001011	1CB
1247	259	100000011	103
1248	451	111000011	1C3
1249	425	110101001	1A9
1250	365	101101101	16D
1251	457	111001001	1C9
1252	230	11100110	E6
1253	134	10000110	86
1254	253	11111101	FD
1255	293	100100101	125
1256	352	101100000	160
1257	227	11100011	E3
1258	328	101001000	148
1259	24	11000	18
1260	380	101111100	17C
1261	209	11010001	D1
1262	181	10110101	B5
1263	240	11110000	F0
1264	294	100100110	126
1265	117	1110101	75
1266	493	111101101	1ED
1267	328	101001000	148
1268	190	10111110	BE
1269	111	1101111	6F
1270	410	110011010	19A
1271	171	10101011	AB
1272	97	1100001	61
1273	320	101000000	140
1274	310	100110110	136
1275	447	110111111	1BF
1276	450	111000010	1C2
1277	173	10101101	AD
1278	17	10001	11
1279	9	1001	9
1280	42	101010	2A
1281	431	110101111	1AF
1282	489	111101001	1E9
1283	470	111010110	1D6
1284	456	111001000	1C8
